calories_burned,weight,height,duration,speed,gender,age
621,68,168,62,5.7,Female,35
935,82,185,80,6.5,Male,49
419,59,158,48,4.9,Non-binary,24
761,71,175,70,6.0,Female,38
493,63,169,55,5.2,Male,45
287,51,155,42,4.6,Non-binary,22
843,79,181,78,6.3,Female,43
611,66,167,63,5.6,Male,51
337,56,161,47,4.7,Non-binary,29
921,80,184,81,6.4,Female,47
473,62,170,54,5.1,Male,42
253,50,153,40,4.5,Non-binary,20
833,78,179,77,6.2,Female,39
593,64,166,61,5.5,Male,48
411,58,159,49,4.8,Non-binary,26
931,81,186,82,6.5,Female,50
463,61,171,53,5.0,Male,44
259,52,154,41,4.4,Non-binary,21
843,79,181,78,6.3,Female,43
603,65,168,62,5.6,Male,52
433,60,169,50,5.0,Non-binary,27
933,82,187,83,6.6,Female,51
483,63,170,56,5.3,Male,46
275,54,157,44,4.7,Non-binary,25
923,80,185,82,6.5,Female,48
533,67,169,58,5.4,Male,40
439,59,160,51,5.0,Non-binary,28
943,83,188,84,6.7,Female,53
473,62,170,54,5.1,Male,42
291,53,156,43,4.6,Non-binary,23
943,83,188,84,6.7,Female,53
593,64,166,61,5.5,Male,48
463,61,171,53,5.0,Non-binary,44
933,82,187,83,6.6,Female,51
483,63,170,56,5.3,Male,46
275,54,157,44,4.7,Non-binary,25
923,80,185,82,6.5,Female,48
533,67,169,58,5.4,Male,40
439,59,160,51,5.0,Non-binary,28
943,83,188,84,6.7,Female,53
473,62,170,54,5.1,Male,42
291,53,156,43,4.6,Non-binary,23
943,83,188,84,6.7,Female,53
593,64,166,61,5.5,Male,48
463,61,171,53,5.0,Non-binary,44
933,82,187,83,6.6,Female,51
483,63,170,56,5.3,Male,46
275,54,157,44,4.7,Non-binary,25
923,80,185,82,6.5,Female,48
533,67,169,58,5.4,Male,40
